State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",_lead_score,_signals
CA,058406,"PATIENTS FIRST HOME HEALTH AGENCY, INC","23210 S CRENSHAW BLVD, SUITE 200",TORRANCE,90505,3105348689,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/22/2007,1,-,29,34,85.29,-,0,25,0.00,-,4,22,44.73,-,4,21,39.45,-,4,22,35.53,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,0,24,0.00,-,13,34,38.24,-,0,34,0.00,-,6,22,27.27,-,5,30,16.67,-,-,-,-,The number of patient episodes for this measure is too small to report.,38,51,74.51,84.63,67.17,94.67,Same As National Rate,-,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,7,21,33.33,15.31,9.04,24.17,Same As National Rate,-,1.33,-,141,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058421,"GLOBAL HOME HEALTH, INC",515 N VICTORY BLVD,BURBANK,91502,8185089911,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/29/2007,2,-,49,55,89.09,-,20,45,44.44,-,12,31,58.79,-,15,30,74.03,-,24,31,83.47,-,28,31,90.46,-,18,31,76.36,-,0,31,0.00,-,24,55,43.64,-,1,55,1.82,-,27,31,87.10,-,39,39,100.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,51,59,86.44,84.75,73.96,91.44,Same As National Rate,-,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1,23,4.35,10.41,5.48,19.53,Same As National Rate,-,0.83,-,400,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,058433,"ER HOME HEALTH, INC",2001 W BEVERLY BLVD UNIT B,MONTEBELLO,90640,3238872883,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/11/2008,1,-,74,84,88.10,-,7,64,10.94,-,9,47,34.95,-,10,47,37.89,-,6,49,25.26,-,6,42,23.33,-,4,47,27.09,-,1,51,1.69,-,74,84,88.10,-,1,84,1.19,-,7,47,14.89,-,69,69,100.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,41,73,56.16,66.01,53.61,74.33,Worse Than National Rate,-,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,9,35,25.71,15.74,9.55,24.01,Same As National Rate,-,0.94,-,388,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059001,GREATER HOME HEALTH CARE INCORPORATED,2400 W CARSON ST SUITE 235,TORRANCE,90501,3107871731,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/10/2008,1.5,-,52,61,85.25,-,40,48,83.33,-,12,35,54.99,-,12,37,44.86,-,13,37,51.17,-,10,32,44.66,-,9,37,53.04,-,0,44,0.00,-,53,61,86.89,-,1,61,1.64,-,7,40,17.50,-,45,54,83.33,-,-,-,-,The number of patient episodes for this measure is too small to report.,54,74,72.97,81.33,70.52,89.71,Same As National Rate,-,-,17,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,26,7.69,10.01,5.46,16.73,Same As National Rate,-,0.98,-,202,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059113,TOTAL CARE HOME HEALTH SERVICES,4201 LONG BEACH BLVD SUITE 308,LONG BEACH,90802,5622850432,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/05/2009,2,-,48,64,75.00,-,51,56,91.07,-,31,52,71.99,-,28,52,63.12,-,37,52,75.22,-,43,51,87.60,-,36,52,73.05,-,0,54,0.00,-,5,64,7.81,-,0,64,0.00,-,0,52,0.00,-,6,55,10.91,-,-,-,-,The number of patient episodes for this measure is too small to report.,76,91,83.52,81.79,72.19,87.53,Same As National Rate,-,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,4,31,12.90,12.22,7.85,22.50,Same As National Rate,-,0.82,-,296,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059223,"BENEFICIAL HOME HEALTH SERVICES, INC",1901 E LAMBERT RD SUITE 203S,LA HABRA,90631,7142560756,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/18/2010,1,-,70,89,78.65,-,44,56,78.57,-,13,55,50.09,-,10,51,47.49,-,14,56,42.71,-,15,37,55.82,-,6,39,33.71,-,1,59,1.73,-,64,89,71.91,-,0,89,0.00,-,19,58,32.76,-,16,35,45.71,-,42,53,79.25,-,75,99,75.76,80.38,69.86,86.96,Same As National Rate,-,3,34,8.82,4.33,3.09,5.80,Same As National Rate,-,8,53,15.09,12.82,7.50,19.70,Same As National Rate,-,0.82,-,157,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059241,"PRIVILEGE HOME SERVICES, INC",11395 183RD STREET,CERRITOS,90703,5624680888,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/29/2010,2,-,24,28,85.71,-,4,20,20.00,-,19,23,85.48,-,15,23,65.93,-,20,23,90.66,-,-,-,-,The number of patient episodes for this measure is too small to report.,8,20,56.92,-,0,23,0.00,-,9,29,31.03,-,0,29,0.00,-,8,23,34.78,-,-,-,-,The number of patient episodes for this measure is too small to report.,7,21,33.33,-,17,39,43.59,49.40,33.66,63.78,Worse Than National Rate,-,-,16,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,10,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.01,-,82,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059301,DEPENDABLE NURSING LLC,"5055 AVENIDA ENCINAS, SUITE 120",CARLSBAD,92008,7606020583,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/11/2011,2,-,44,50,88.00,-,20,28,71.43,-,28,40,72.99,-,35,39,90.68,-,25,39,71.33,-,29,39,74.75,-,24,39,68.27,-,0,43,0.00,-,41,50,82.00,-,0,49,0.00,-,28,39,71.79,-,-,-,-,The number of patient episodes for this measure is too small to report.,36,37,97.30,-,28,53,52.83,56.52,40.93,68.32,Worse Than National Rate,-,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,19,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.72,-,54,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059302,HOME HEALTH ALLIANCE,"1 NORTH MAIN STREET, SUITE 1",MILPITAS,95035,4082637102,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/14/2011,2,-,70,84,83.33,-,45,57,78.95,-,32,55,76.33,-,30,51,78.96,-,28,56,68.08,-,-,-,-,The number of patient episodes for this measure is too small to report.,12,40,59.54,-,0,62,0.00,-,75,84,89.29,-,1,83,1.20,-,45,61,73.77,-,31,40,77.50,-,42,44,95.45,-,38,85,44.71,48.76,38.54,59.29,Worse Than National Rate,-,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,5,39,12.82,13.38,7.38,23.74,Same As National Rate,-,1.08,-,157,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059478,ALL IN ONE HOME HEALTH AGENCY INC,"1255 E HIGHLAND AVENUE, SUITE 216",SAN BERNARDINO,92404,9098888224,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/21/2013,2,-,53,71,74.65,-,17,54,31.48,-,23,38,70.50,-,26,37,79.82,-,26,37,80.14,-,18,31,68.27,-,23,34,79.99,-,0,39,0.00,-,38,71,53.52,-,0,71,0.00,-,21,39,53.85,-,18,37,48.65,-,26,33,78.79,-,52,82,63.41,69.51,58.45,78.99,Same As National Rate,-,1,24,4.17,4.09,2.93,5.28,Same As National Rate,-,6,46,13.04,11.84,7.39,20.39,Same As National Rate,-,0.87,-,239,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,059629,"DESTINY HOME HEALTH SERVICES, INC",3015 ARTESIA BLVD,TORRANCE,90504,3106722555,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/16/2014,1.5,-,60,68,88.24,-,38,56,67.86,-,12,40,55.04,-,12,38,54.01,-,14,41,58.41,-,1,41,11.15,-,1,33,24.74,-,0,44,0.00,-,55,68,80.88,-,1,68,1.47,-,31,37,83.78,-,6,28,21.43,-,15,39,38.46,-,56,86,65.12,65.51,54.72,73.93,Worse Than National Rate,-,-,7,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,25,8.00,11.27,5.70,20.54,Same As National Rate,-,0.90,-,465,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,553152,CAPITAL HOME HEALTH CARE,1117 NORTH HOLLYWOOD WAY,BURBANK,91505,8885309717,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/27/2018,1.5,-,66,76,86.84,-,40,60,66.67,-,38,61,69.75,-,29,61,60.04,-,31,61,51.66,-,17,60,30.63,-,15,61,41.85,-,0,64,0.00,-,56,76,73.68,-,1,76,1.32,-,4,61,6.56,-,40,41,97.56,-,31,33,93.94,-,84,98,85.71,86.01,79.28,90.59,Better Than National Rate,-,0,20,0.00,3.97,2.79,5.66,Same As National Rate,-,3,56,5.36,9.28,5.42,15.43,Same As National Rate,-,0.83,-,304,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,553164,"ALL LINKED HOME HEALTH, INC","6819 SEPULVEDA BLVD, SUITE 211",VAN NUYS,91405,8187861209,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/13/2018,1,-,18,41,43.90,-,17,26,65.38,-,9,24,57.12,-,10,24,72.13,-,9,24,53.32,-,-,-,-,The number of patient episodes for this measure is too small to report.,6,24,53.10,-,1,25,3.87,-,20,42,47.62,-,1,42,2.38,-,12,25,48.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,16,24,66.67,-,-,17,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.36,-,59,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,553173,"SIMI PLAZA HOME CARE, INC",1716 ERRINGER RD SUITE 102,SIMI VALLEY,93065,8189199191,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/23/2018,1.5,-,24,29,82.76,-,8,22,36.36,-,8,20,70.17,-,9,20,66.04,-,10,20,70.10,-,-,-,-,The number of patient episodes for this measure is too small to report.,5,21,64.98,-,0,25,0.00,-,4,29,13.79,-,0,29,0.00,-,10,23,43.48,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,18,20,90.00,86.57,70.97,94.25,Same As National Rate,-,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,18,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.66,-,60,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,553184,GOLDEN STAR HOME HEALTH CARE,"440 WEST COLORADO STREET, SUITE 205",GLENDALE,91204,8189675500,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/20/2019,2.5,-,62,86,72.09,-,35,64,54.69,-,70,78,93.68,-,54,78,78.45,-,57,78,73.83,-,57,78,73.93,-,37,78,64.41,-,0,78,0.00,-,72,87,82.76,-,0,87,0.00,-,18,78,23.08,-,27,29,93.10,-,56,58,96.55,-,62,73,84.93,87.90,78.39,94.04,Better Than National Rate,-,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,53,3.77,8.42,4.42,13.76,Same As National Rate,-,1.13,-,210,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,557145,AFFILIATED HOME HEALTH SERVICES INC,240 S JACKSON ST SUITE 210,GLENDALE,91205,8185397768,PROPRIETARY,No,Yes,Yes,Yes,Yes,No,10/22/1991,2.5,-,34,47,72.34,-,14,20,70.00,-,27,42,79.44,-,23,43,69.81,-,28,43,73.12,-,25,28,98.88,-,18,31,73.66,-,0,43,0.00,-,32,48,66.67,-,1,48,2.08,-,31,43,72.09,-,-,-,-,The number of patient episodes for this measure is too small to report.,25,40,62.50,-,152,187,81.28,80.05,74.26,83.79,Same As National Rate,-,2,83,2.41,4.19,2.81,6.03,Same As National Rate,-,5,64,7.81,11.68,7.37,20.63,Same As National Rate,-,0.97,-,266,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,557566,"MLH HEALTHCARE, INC",2555 E COLORADO BLVD. SUITE 203,PASADENA,91107,6264571874,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/18/1995,2,-,49,58,84.48,-,34,42,80.95,-,21,41,54.37,-,25,41,75.27,-,35,41,87.83,-,38,41,92.31,-,26,41,71.17,-,0,41,0.00,-,0,58,0.00,-,0,58,0.00,-,3,41,7.32,-,3,20,15.00,-,37,38,97.37,-,149,169,88.17,90.25,84.24,93.86,Better Than National Rate,-,0,24,0.00,4.06,2.70,6.05,Same As National Rate,-,9,83,10.84,13.62,8.67,21.96,Same As National Rate,-,0.95,-,528,170,Low CMS star rating; Timely care performance gap; Quality performance concern
